cuil,apellido,nombre,fecha_ingreso
20-33789012-5,Aguirre,Federico,2024-01-15
27-34890123-6,Benítez,Mariana,2024-02-01
20-30901234-7,Cabrera,Ramiro,2024-02-20
20-32012345-8,Delgado,Ignacio,2024-03-05
27-31123456-9,Escobar,Julieta,2024-03-18
20-29234567-1,Figueroa,Matías,2024-04-02
20-33345678-2,Gutiérrez,Lucas,2024-04-15
27-30456789-3,Ibáñez,Florencia,2024-05-01
20-34567890-4,Juárez,Tomás,2024-05-20
20-28678901-5,Kramer,Gonzalo,2024-06-03
27-32789012-6,Ledesma,Agustina,2024-06-17
20-31890123-7,Medina,Emiliano,2024-07-01
