cuil,apellido,nombre,fecha_ingreso
20-28456789-1,Gómez,Carlos,2022-03-01
27-30567890-4,Fernández,Lucía,2021-06-15
20-32678901-2,Rodríguez,Martín,2023-01-10
20-29789012-5,López,Diego,2020-09-01
27-31890123-6,Martínez,Sofía,2022-11-20
20-33901234-7,Sánchez,Javier,2023-04-05
20-27012345-8,Romero,Andrés,2019-07-12
27-34123456-9,Díaz,Valentina,2023-08-01
20-30234567-0,Torres,Gabriel,2021-02-18
20-32345678-1,Ruiz,Pablo,2022-05-30
27-29456789-3,Morales,Camila,2020-12-03
20-31567890-2,Ortiz,Sebastián,2023-03-22
20-28678901-4,Herrera,Nicolás,2021-10-08
